因素,英文名,相关系数,相关性强度,正负关系
新易盛涨跌幅,new_fiber_pct,-0.7522,强,负相关
创业板指涨跌幅,cyb_pct,-0.6982,强,负相关
深证成指涨跌幅,sz_pct,-0.5826,强,负相关
沪深300涨跌幅,hs300_pct,-0.5159,强,负相关
中证500涨跌幅,zz500_pct,-0.4799,中等,负相关
上证指数涨跌幅,sh_pct,-0.3907,中等,负相关
比特币涨跌幅,btc_pct,0.2061,弱,正相关
流通市值,circ_mv,-0.1772,弱,负相关
总市值,total_mv,-0.1772,弱,负相关
5日动量,momentum_5,-0.1504,弱,负相关
资金净流入,net_mf_amount,-0.1412,弱,负相关
价格相对MA10位置,price_ma10_ratio,-0.1409,弱,负相关
价格相对MA5位置,price_ma5_ratio,-0.1408,弱,负相关
每股净资产,bps,-0.128,弱,负相关
每股收益,eps,-0.128,弱,负相关
总资产收益率,roa,-0.128,弱,负相关
净资产收益率,roe,-0.128,弱,负相关
价格相对MA20位置,price_ma20_ratio,-0.1135,弱,负相关
10日动量,momentum_10,-0.1048,弱,负相关
MACD指标,macd,-0.0942,弱,负相关
